itemid	version1	version2	category	main-type	lev-dist	lev-dist-class	lendiff-chars	lendiff-words	insertion	deletion	capitalization	whitespace	italics	punctuation	hyphenation	numbers	condensation	expansion	tbc
121-1	245	compensation.”	script-identifiable	numbers	14	major	11	1	0	0	0	0	0	0	0	1	0	0	0
124-1	ca- pable	capable	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
125-1	"knows,"""	knows,”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
126-1	“Any thing		other	deletion	10	major	-10	-2	0	1	0	0	0	0	0	0	0	0	0
127-1	like - or	like—or	other	tbc	3	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
128-1	every thing,	everything,	script-identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
129-1	edge- tool,	edge-tool,	script-identifiable	whitespace	1	minor	-1	0	0	0	0	1	0	0	0	0	0	0	0
133-1	"night!"""	night!”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
134-1	"“Daisy,"""		other	deletion	8	major	-8	-2	0	1	0	0	0	0	0	0	0	0	0
135-1	smile — “for	smile—“for	script-identifiable	whitespace	2	minor	-2	0	0	0	0	1	0	0	0	0	0	0	0
135-2	that's	that’s	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
135-3	you, it's	you,* it’s	other	tbc	2	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
135-4	by — and	by—and	script-identifiable	whitespace	2	minor	-2	0	0	0	0	1	0	0	0	0	0	0	0
136-1	•	me!”	other	tbc	4	minor	3	0	0	0	0	0	0	0	0	0	0	0	1
136-2	"choose,"""	choose,”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
140-1	"us!"""	us!”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
141-1	alwas	always	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
141-2	"heart."""	heart.”	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
141-3	confes-  246 sion	confession	script-identifiable	numbers	8	major	-8	-2	0	0	0	0	0	0	0	1	0	0	0
142-1	re- luctance	reluctance	other	tbc	2	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
142-2	$0,	so,	script-identifiable	numbers	2	minor	0	-1	0	0	0	0	0	0	0	1	0	0	0
144-1	árm,	arm,	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
146-1	slept — let	slept—let	script-identifiable	whitespace	2	minor	-2	0	0	0	0	1	0	0	0	0	0	0	0
146-2	again as	again—as	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
146-3	school';	school;	script-identifiable	punctuation	1	minor	-1	0	0	0	0	0	0	1	0	0	0	0	0
147-1	- Never		other	deletion	7	major	-7	-1	0	1	0	0	0	0	0	0	0	0	0
148-1		—Never	other	insertion	6	major	6	1	1	0	0	0	0	0	0	0	0	0	0
151-1	:		other	deletion	1	minor	-1	-1	0	1	0	0	0	0	0	0	0	0	0
